assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
121210529,190141,Gyrinomimus parri,ANIMALIA,CHORDATA,CETOMIMIFORMES,ACTINOPTERYGII,CETOMIMIDAE,Gyrinomimus,parri,,,,"Bigelow, 1961",Data Deficient,,3.1,Unknown,Global
121210539,190421,Cetomimus kerdops,ANIMALIA,CHORDATA,CETOMIMIFORMES,ACTINOPTERYGII,CETOMIMIDAE,Cetomimus,kerdops,,,,"Parr, 1934",Data Deficient,,3.1,Unknown,Global
121210564,67962581,Ataxolepis apus,ANIMALIA,CHORDATA,CETOMIMIFORMES,ACTINOPTERYGII,CETOMIMIDAE,Ataxolepis,apus,,,,Myers &amp; Freihofer 1966,Least Concern,,3.1,Unknown,Global
123361103,123360411,Ataxolepis henactis,ANIMALIA,CHORDATA,CETOMIMIFORMES,ACTINOPTERYGII,CETOMIMIDAE,Ataxolepis,henactis,,,,"Goodyear, 1870",Least Concern,,3.1,Unknown,Global
123361108,123360429,Cetichthys parini,ANIMALIA,CHORDATA,CETOMIMIFORMES,ACTINOPTERYGII,CETOMIMIDAE,Cetichthys,parini,,,,"Paxton, 1989",Least Concern,,3.1,Unknown,Global
123361113,123360476,Cetomimus craneae,ANIMALIA,CHORDATA,CETOMIMIFORMES,ACTINOPTERYGII,CETOMIMIDAE,Cetomimus,craneae,,,,"Harry, 1952",Least Concern,,3.1,Unknown,Global
123361118,123360481,Cetomimus picklei,ANIMALIA,CHORDATA,CETOMIMIFORMES,ACTINOPTERYGII,CETOMIMIDAE,Cetomimus,picklei,,,,"(Gilchrist, 1922)",Least Concern,,3.1,Unknown,Global
123361123,123360553,Eutaeniophorus festivus,ANIMALIA,CHORDATA,CETOMIMIFORMES,ACTINOPTERYGII,CETOMIMIDAE,Eutaeniophorus,festivus,,,,"(Bertelsen &amp; Marshall, 1956)",Least Concern,,3.1,Unknown,Global
123361128,123360771,Gyrinomimus andriashevi,ANIMALIA,CHORDATA,CETOMIMIFORMES,ACTINOPTERYGII,CETOMIMIDAE,Gyrinomimus,andriashevi,,,,"Fedorov, Balushkin &amp; Trunov, 1987",Data Deficient,,3.1,Unknown,Global
123361133,123360857,Gyrinomimus bruuni,ANIMALIA,CHORDATA,CETOMIMIFORMES,ACTINOPTERYGII,CETOMIMIDAE,Gyrinomimus,bruuni,,,,"Rofen, 1959",Least Concern,,3.1,Unknown,Global
123361138,123360888,Gyrinomimus grahami,ANIMALIA,CHORDATA,CETOMIMIFORMES,ACTINOPTERYGII,CETOMIMIDAE,Gyrinomimus,grahami,,,,"Richardson &amp; Garrick, 1964",Least Concern,,3.1,Unknown,Global
123361143,123360939,Notocetichthys trunovi,ANIMALIA,CHORDATA,CETOMIMIFORMES,ACTINOPTERYGII,CETOMIMIDAE,Notocetichthys,trunovi,,,,"Balushkin, Fedorov &amp; Paxton, 1989",Data Deficient,,3.1,Unknown,Global
123361148,123361038,Parataeniophorus brevis,ANIMALIA,CHORDATA,CETOMIMIFORMES,ACTINOPTERYGII,CETOMIMIDAE,Parataeniophorus,brevis,,,,"Bertelsen &amp; Marshall, 1956",Least Concern,,3.1,Unknown,Global
123361153,123361068,Vitiaziella cubiceps,ANIMALIA,CHORDATA,CETOMIMIFORMES,ACTINOPTERYGII,CETOMIMIDAE,Vitiaziella,cubiceps,,,,"Rass, 1955",Least Concern,,3.1,Unknown,Global
123789863,2815,Bison bison,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,BOVIDAE,Bison,bison,,,,"(Linnaeus, 1758)",Near Threatened,C2a(i),3.1,Stable,Global
123790805,15419,Orcaella brevirostris,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,DELPHINIDAE,Orcaella,brevirostris,,,,"(Owen in Gray, 1866)",Endangered,A2cd+3cd+4cd,3.1,Decreasing,Global
123792204,17978,Pontoporia blainvillei,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,PONTOPORIIDAE,Pontoporia,blainvillei,,,,"(Gervais &amp; d'Orbigny, 1844)",Vulnerable,A3d,3.1,Decreasing,Global
123792572,20425,Sousa teuszii,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,DELPHINIDAE,Sousa,teuszii,,,,"(Kükenthal, 1892)",Critically Endangered,A3cd+4cd; C2a(i),3.1,Decreasing,Global
123793370,41772,Sus barbatus,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,SUIDAE,Sus,barbatus,,,,"Müller, 1838",Vulnerable,A2cd,3.1,Decreasing,Global
123793740,136315,Orcaella heinsohni,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,DELPHINIDAE,Orcaella,heinsohni,,,,"Beasley, Robertson &amp; Arnold, 2005",Vulnerable,A2cd+3cd+4cd; C2a(i),3.1,Decreasing,Global
123794774,82031425,Sousa chinensis,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,DELPHINIDAE,Sousa,chinensis,,,,"(Osbeck, 1765)",Vulnerable,A3cd+4cd,3.1,Decreasing,Global
127827154,127827012,Mesoplodon ginkgodens,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,ZIPHIIDAE,Mesoplodon,ginkgodens,,,,"Nishiwaki &amp; Kamiya, 1958",Data Deficient,,3.1,Unknown,Global
128963283,4159,Cephalorhynchus commersonii,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,DELPHINIDAE,Cephalorhynchus,commersonii,,,,"(Lacépède, 1804)",Least Concern,,3.1,Unknown,Global
129955702,67963784,Cetichthys indagator,ANIMALIA,CHORDATA,CETOMIMIFORMES,ACTINOPTERYGII,CETOMIMIDAE,Cetichthys,indagator,,,,"(Rofen, 1959)",Least Concern,,3.1,Unknown,Global
130482064,2475,Balaenoptera borealis,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,BALAENOPTERIDAE,Balaenoptera,borealis,,,,"Lesson, 1828",Endangered,A1abd,3.1,Increasing,Global
133840708,22697583,Balaeniceps rex,ANIMALIA,CHORDATA,PELECANIFORMES,AVES,BALAENICIPITIDAE,Balaeniceps,rex,,,,"Gould, 1850",Vulnerable,C2a(ii),3.1,Decreasing,Global
134697384,134697353,Cetopsidium ferreirai,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,CETOPSIDAE,Cetopsidium,ferreirai,,,,"Vari, Ferraris &amp; de Pinna, 2005",Near Threatened,B1a,3.1,Unknown,Global
134697475,134697462,Cetopsis arcana,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,CETOPSIDAE,Cetopsis,arcana,,,,"Vari, Ferraris &amp; de Pinna, 2005",Least Concern,,3.1,Unknown,Global
134697512,134697508,Cetopsis caiapo,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,CETOPSIDAE,Cetopsis,caiapo,,,,"Vari, Ferraris &amp; de Pinna, 2005",Data Deficient,,3.1,Unknown,Global
134697525,134697520,Cetopsis sandrae,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,CETOPSIDAE,Cetopsis,sandrae,,,,"Vari, Ferraris &amp; de Pinna, 2005",Least Concern,,3.1,Unknown,Global
134697549,134697539,Cetopsis sarcodes,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,CETOPSIDAE,Cetopsis,sarcodes,,,,"Vari, Ferraris &amp; de Pinna, 2005",Data Deficient,,3.1,Unknown,Global
134708922,134708911,Denticetopsis epa,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,CETOPSIDAE,Denticetopsis,epa,,,,"Vari, Ferraris &amp; de Pinna, 2005",Least Concern,,3.1,Unknown,Global
135058022,135058006,Helogenes gouldingi,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,CETOPSIDAE,Helogenes,gouldingi,,,,"Vari &amp; Ortega, 1986",Least Concern,,3.1,Unknown,Global
136266699,9194,Giraffa camelopardalis,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,GIRAFFIDAE,Giraffa,camelopardalis,,,,"(Linnaeus, 1758)",Vulnerable,A2acd,3.1,Decreasing,Global
139929300,110834677,Carcharhinus humani,ANIMALIA,CHORDATA,CARCHARHINIFORMES,CHONDRICHTHYES,CARCHARHINIDAE,Carcharhinus,humani,,,,"White &amp; Weigmann, 2014",Data Deficient,,3.1,Unknown,Global
142396828,55997823,Cervus canadensis,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,CERVIDAE,Cervus,canadensis,,,,"Erxleben, 1777",Least Concern,,3.1,Increasing,Global
142404453,55997072,Cervus elaphus,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,CERVIDAE,Cervus,elaphus,,,,"Linnaeus, 1758",Least Concern,,3.1,Increasing,Global
143160967,811,Alcelaphus buselaphus,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,BOVIDAE,Alcelaphus,buselaphus,,,,"(Pallas, 1766)",Least Concern,,3.1,Decreasing,Global
144232542,181359,Sotalia guianensis,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,DELPHINIDAE,Sotalia,guianensis,,,,"(Van Bénéden, 1864)",Near Threatened,A2d+3d+4d,3.1,Unknown,Global
144790120,136623,Balaenoptera omurai,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,BALAENOPTERIDAE,Balaenoptera,omurai,,,,"Wada, Oishi &amp; Yamada, 2003",Data Deficient,,3.1,Unknown,Global
145357488,18596,Pseudorca crassidens,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,DELPHINIDAE,Pseudorca,crassidens,,,,"(Owen, 1846)",Near Threatened,A2d,3.1,Unknown,Global
145360542,22956,Vicugna vicugna,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,CAMELIDAE,Vicugna,vicugna,,,,"(Molina, 1782)",Least Concern,,3.1,Increasing,Global
146871817,146863390,Solanum whalenii,PLANTAE,TRACHEOPHYTA,SOLANALES,MAGNOLIOPSIDA,SOLANACEAE,Solanum,whalenii,,,,M.Nee,Near Threatened,B2b(iii),3.1,Decreasing,Global
149252617,149249086,Gephyrocharax intermedius,ANIMALIA,CHORDATA,CHARACIFORMES,ACTINOPTERYGII,CHARACIDAE,Gephyrocharax,intermedius,,,,"Meek &amp; Hildebrand, 1916",Near Threatened,B1ab(iii),3.1,Unknown,Global
156923585,2477,Balaenoptera musculus,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,BALAENOPTERIDAE,Balaenoptera,musculus,,,,"(Linnaeus, 1758)",Endangered,A1abd,3.1,Increasing,Global
156925170,9918,Arabitragus jayakari,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,BOVIDAE,Arabitragus,jayakari,,,,"(Thomas, 1894)",Endangered,C2a(i),3.1,Decreasing,Global
156927622,20733,Stenella longirostris,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,DELPHINIDAE,Stenella,longirostris,,,,"(Gray, 1828)",Least Concern,,3.1,Unknown,Global
156932432,22563,Tursiops truncatus,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,DELPHINIDAE,Tursiops,truncatus,,,,"(Montagu, 1821)",Least Concern,,3.1,Unknown,Global
159099506,49830387,Cetopsis candiru,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,CETOPSIDAE,Cetopsis,candiru,,,,"Spix & Agassiz, 1829",Least Concern,,3.1,Unknown,Global
159099515,49830486,Cetopsis coecutiens,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,CETOPSIDAE,Cetopsis,coecutiens,,,,"(Lichtenstein, 1819)",Least Concern,,3.1,Unknown,Global
159099525,49830541,Cetopsis oliveirai,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,CETOPSIDAE,Cetopsis,oliveirai,,,,"(Lundberg & Rapp Py-Daniel, 1994)",Least Concern,,3.1,Unknown,Global
159099538,49830576,Cetopsis parma,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,CETOPSIDAE,Cetopsis,parma,,,,"Oliviera, Vari & Ferraris, 2001",Data Deficient,,3.1,Unknown,Global
159099774,49829814,Cetopsis plumbea,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,CETOPSIDAE,Cetopsis,plumbea,,,,"Steindachner, 1882",Least Concern,,3.1,Unknown,Global
160431687,49830419,Helogenes marmoratus,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,CETOPSIDAE,Helogenes,marmoratus,,,,"Günther, 1863",Least Concern,,3.1,Unknown,Global
160983555,41755,Physeter macrocephalus,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,PHYSETERIDAE,Physeter,macrocephalus,,,,"Linnaeus, 1758",Vulnerable,A1d,3.1,Unknown,Global
162748131,162748121,Cetopsidium pemon,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,CETOPSIDAE,Cetopsidium,pemon,,,,"Vari, Ferraris &amp; de Pinna, 2005",Least Concern,,3.1,Unknown,Global
162748210,162748197,Denticetopsis macilenta,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,CETOPSIDAE,Denticetopsis,macilenta,,,,"(Eigenmann, 1912)",Least Concern,,3.1,Unknown,Global
162916910,162916735,Capricornis sumatraensis,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,BOVIDAE,Capricornis,sumatraensis,,,,"(Bechstein, 1799)",Vulnerable,A2cd,3.1,Decreasing,Global
163322525,5229,Connochaetes taurinus,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,BOVIDAE,Connochaetes,taurinus,,,,"(Burchell, 1823)",Least Concern,,3.1,Stable,Global
166485425,15573,Oryx gazella,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,BOVIDAE,Oryx,gazella,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Stable,Global
166485696,18597,Pseudoryx nghetinhensis,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,BOVIDAE,Pseudoryx,nghetinhensis,,,,"Dung, Giao, Chinh, Touc, Arctander &amp; MacKinnon, 1993",Critically Endangered,A2acd+3cd+4acd; C2a(i),3.1,Decreasing,Global
166487759,22054,Tragelaphus strepsiceros,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,BOVIDAE,Tragelaphus,strepsiceros,,,,"(Pallas, 1766)",Least Concern,,3.1,Stable,Global
166523704,4139,Cephalophus dorsalis,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,BOVIDAE,Cephalophus,dorsalis,,,,"Gray, 1846",Near Threatened,,3.1,Decreasing,Global
170905827,42191,Muntiacus reevesi,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,CERVIDAE,Muntiacus,reevesi,,,,"(Ogilby, 1839)",Least Concern,,3.1,Decreasing,Global
172360006,8982,Eudorcas thomsonii,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,BOVIDAE,Eudorcas,thomsonii,,,,"(Günther, 1884)",Least Concern,,3.1,Decreasing,Global
175604493,11146,Lagenorhynchus obscurus,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,DELPHINIDAE,Lagenorhynchus,obscurus,,,,"(Gray, 1828)",Least Concern,,3.1,Unknown,Global
175721322,175721234,Cetopsidium minutum,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,CETOPSIDAE,Cetopsidium,minutum,,,,"(Eigenmann, 1912)",Least Concern,,3.1,Unknown,Global
175721559,175721530,Cetopsidium morenoi,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,CETOPSIDAE,Cetopsidium,morenoi,,,,"(Fernández-Yépez, 1972)",Least Concern,,3.1,Stable,Global
175721880,175721719,Cetopsis orinoco,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,CETOPSIDAE,Cetopsis,orinoco,,,,"(Schultz, 1944)",Least Concern,,3.1,Stable,Global
175721988,175721939,Cetopsis umbrosa,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,CETOPSIDAE,Cetopsis,umbrosa,,,,"Vari, Ferraris &amp; de Pinna, 2005",Data Deficient,,3.1,Unknown,Global
175722176,175722159,Helogenes castaneus,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,CETOPSIDAE,Helogenes,castaneus,,,,"(Dahl, 1960)",Least Concern,,3.1,Stable,Global
176090851,176090645,Cetopsis varii,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,CETOPSIDAE,Cetopsis,varii,,,,"Abrahão &amp; de Pinna, 2018",Data Deficient,,3.1,Unknown,Global
176154490,176154476,Cetopsidium orientale,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,CETOPSIDAE,Cetopsidium,orientale,,,,"(Vari, Ferraris &amp; Keith, 2003)",Least Concern,,3.1,Unknown,Global
176154599,176154595,Cetopsidium roae,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,CETOPSIDAE,Cetopsidium,roae,,,,"Vari, Ferraris &amp; de Pinna, 2005",Least Concern,,3.1,Unknown,Global
176154725,176154696,Denticetopsis iwokrama,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,CETOPSIDAE,Denticetopsis,iwokrama,,,,"Vari, Ferraris &amp; de Pinna, 2005",Least Concern,,3.1,Unknown,Global
176403600,176403591,Cetopsis starnesi,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,CETOPSIDAE,Cetopsis,starnesi,,,,"Vari, Ferraris &amp; de Pinna, 2005",Near Threatened,B1a,3.1,Unknown,Global
176667971,176667967,Paracetopsis atahualpa,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,CETOPSIDAE,Paracetopsis,atahualpa,,,,"Vari, Ferraris &amp; de Pinna, 2005",Vulnerable,"B1ab(i,ii,iii,iv)",3.1,Decreasing,Global
176668016,176668001,Paracetopsis bleekeri,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,CETOPSIDAE,Paracetopsis,bleekeri,,,,"Bleeker, 1862",Near Threatened,B1ab(iii),3.1,Unknown,Global
176728003,176727988,Cetopsis aspis,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,CETOPSIDAE,Cetopsis,aspis,,,,"Abrahão, Mol &amp; de Pinna, 2019",Near Threatened,"B1ab(ii,iii)",3.1,Unknown,Global
178099274,178099230,Cetopsidium soniae,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,CETOPSIDAE,Cetopsidium,soniae,,,,"Vari &amp; Ferraris, 2009",Data Deficient,,3.1,Unknown,Global
178101477,178099291,Denticetopsis praecox,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,CETOPSIDAE,Denticetopsis,praecox,,,,"(Ferraris &amp; Brown, 1991)",Least Concern,,3.1,Unknown,Global
178589687,41712,Eubalaena glacialis,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,BALAENIDAE,Eubalaena,glacialis,,,,"(Müller, 1776)",Critically Endangered,C2a(ii),3.1,Decreasing,Global
178652661,3797,Capra walie,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,BOVIDAE,Capra,walie,,,,"Rüppell, 1835",Vulnerable,D1+2,3.1,Increasing,Global
178756918,178756893,Berardius minimus,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,ZIPHIIDAE,Berardius,minimus,,,,"Yamada, Kitamura &amp; Matsuishi, 2019",Near Threatened,A4b,3.1,Decreasing,Global
178929751,20738,Steno bredanensis,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,DELPHINIDAE,Steno,bredanensis,,,,"(Lesson, 1828)",Least Concern,,3.1,Unknown,Global
179947455,14294,Naemorhedus baileyi,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,BOVIDAE,Naemorhedus,baileyi,,,,"Pocock, 1914",Vulnerable,C1,3.1,Decreasing,Global
182525770,127826787,Mesoplodon hotaula,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,ZIPHIIDAE,Mesoplodon,hotaula,,,,"Deraniyagala, 1963",Data Deficient,,3.1,Unknown,Global
188277285,49830443,Denticetopsis seducta,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,CETOPSIDAE,Denticetopsis,seducta,,,,"Vari, Ferraris & de Pinna, 2005",Least Concern,,3.1,Unknown,Global
195296049,54940655,Ovis vignei,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,BOVIDAE,Ovis,vignei,,,,"Blyth, 1841",Vulnerable,A2bcde,3.1,Decreasing,Global
195863093,39255,Rupicapra rupicapra,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,BOVIDAE,Rupicapra,rupicapra,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Stable,Global
197190014,2762,Berardius arnuxii,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,ZIPHIIDAE,Berardius,arnuxii,,,,"Duvernoy, 1851",Least Concern,,3.1,Unknown,Global
